Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1767496811,10,POST,/predict/text?resume_text=Experienced+Python+DevOps+Engineer+Terraform+AWS+FastAPI,1.500000,0.000000,260,260,260,260,260,260,260,260,260,260,260,7,0,260.0,417.2507788571238,256.12391900000375,779.7451969999543,96.0
1767496811,10,POST,/predict/text?resume_text=Senior+ML+Engineer+Resume+Screening+Scikit-learn+FastAPI,1.750000,0.000000,550,600,690,730,820,820,820,820,820,820,820,9,0,550.0,519.6329772222283,255.74984700000414,820.3858969999942,92.88888888888889
1767496811,10,,Aggregated,4.250000,0.000000,260,300,550,600,730,780,820,820,820,820,820,30,0,260.0,382.45366463333056,212.0831839999937,820.3858969999942,85.2
1767496812,10,GET,/health,0.800000,0.000000,210,210,250,250,600,600,600,600,600,600,600,6,0,211.4279460000148,283.90657233333627,211.4279460000148,602.126501999976,37.0
1767496812,10,POST,/predict/text?resume_text=DevOps+Architect+Kubernetes+Docker+AWS+GCP+Terraform+Ansible,0.600000,0.000000,260,260,260,260,300,300,300,300,300,300,300,9,0,260.0,264.90513377777665,255.68765599996368,298.69655299995657,95.88888888888889
1767496812,10,POST,/predict/text?resume_text=Experienced+Python+DevOps+Engineer+Terraform+AWS+FastAPI,1.400000,0.000000,260,260,260,300,300,300,300,300,300,300,300,8,0,260.0,402.56290499998215,256.12391900000375,779.7451969999543,96.0
1767496812,10,POST,/predict/text?resume_text=Senior+ML+Engineer+Resume+Screening+Scikit-learn+FastAPI,1.400000,0.000000,510,600,690,690,730,820,820,820,820,820,820,11,0,510.0,471.77505527272695,255.74984700000414,820.3858969999942,92.9090909090909
1767496812,10,,Aggregated,4.200000,0.000000,260,300,510,600,690,780,820,820,820,820,820,34,0,260.0,367.5768966470548,211.4279460000148,820.3858969999942,84.55882352941177
1767496813,10,GET,/health,0.833333,0.000000,210,210,210,250,600,600,600,600,600,600,600,10,0,210.57600300002832,254.9983080000061,210.57600300002832,602.126501999976,37.0
1767496813,10,POST,/predict/text?resume_text=DevOps+Architect+Kubernetes+Docker+AWS+GCP+Terraform+Ansible,1.000000,0.000000,260,260,260,260,300,300,300,300,300,300,300,9,0,260.0,264.90513377777665,255.68765599996368,298.69655299995657,95.88888888888889
1767496813,10,POST,/predict/text?resume_text=Experienced+Python+DevOps+Engineer+Terraform+AWS+FastAPI,1.166667,0.000000,260,260,260,260,300,300,300,300,300,300,300,10,0,260.0,373.49183329998255,256.12391900000375,779.7451969999543,96.0
1767496813,10,POST,/predict/text?resume_text=Senior+ML+Engineer+Resume+Screening+Scikit-learn+FastAPI,1.333333,0.000000,510,600,690,690,730,820,820,820,820,820,820,11,0,510.0,471.77505527272695,255.74984700000414,820.3858969999942,92.9090909090909
1767496813,10,,Aggregated,4.333333,0.000000,260,260,470,550,690,780,820,820,820,820,820,40,0,260.0,346.4643306249968,210.57600300002832,820.3858969999942,80.375
1767496814,10,GET,/health,0.714286,0.000000,210,210,220,220,250,600,600,600,600,600,600,11,0,210.57600300002832,251.48391545455567,210.57600300002832,602.126501999976,37.0
1767496814,10,POST,/predict/text?resume_text=DevOps+Architect+Kubernetes+Docker+AWS+GCP+Terraform+Ansible,1.285714,0.000000,260,260,260,260,300,300,300,300,300,300,300,9,0,260.0,264.90513377777665,255.68765599996368,298.69655299995657,95.88888888888889
1767496814,10,POST,/predict/text?resume_text=Experienced+Python+DevOps+Engineer+Terraform+AWS+FastAPI,1.000000,0.000000,260,260,260,260,300,300,300,300,300,300,300,10,0,260.0,373.49183329998255,256.12391900000375,779.7451969999543,96.0
1767496814,10,POST,/predict/text?resume_text=Senior+ML+Engineer+Resume+Screening+Scikit-learn+FastAPI,1.428571,0.000000,260,550,600,690,730,820,820,820,820,820,820,13,0,260.0,438.7719883846137,255.74984700000414,820.3858969999942,92.84615384615384
1767496814,10,,Aggregated,4.428571,0.000000,260,260,300,510,650,730,820,820,820,820,820,43,0,260.0,339.28891758139315,210.57600300002832,820.3858969999942,79.93023255813954
1767496815,10,GET,/health,1.125000,0.000000,210,210,210,220,250,600,600,600,600,600,600,14,0,210.57600300002832,243.0635514285809,210.57600300002832,602.126501999976,37.0
1767496815,10,POST,/predict/text?resume_text=DevOps+Architect+Kubernetes+Docker+AWS+GCP+Terraform+Ansible,1.125000,0.000000,260,260,260,260,300,300,300,300,300,300,300,9,0,260.0,264.90513377777665,255.68765599996368,298.69655299995657,95.88888888888889
1767496815,10,POST,/predict/text?resume_text=Experienced+Python+DevOps+Engineer+Terraform+AWS+FastAPI,1.125000,0.000000,260,260,260,260,300,300,300,300,300,300,300,11,0,260.0,363.5181504545296,256.12391900000375,779.7451969999543,96.0
1767496815,10,POST,/predict/text?resume_text=Senior+ML+Engineer+Resume+Screening+Scikit-learn+FastAPI,1.375000,0.000000,260,550,600,690,730,820,820,820,820,820,820,14,0,260.0,425.8001951428574,255.74984700000414,820.3858969999942,92.85714285714286
1767496815,10,,Aggregated,4.750000,0.000000,260,260,300,470,650,730,820,820,820,820,820,48,0,260.0,328.061214812499,210.57600300002832,820.3858969999942,77.85416666666667
