Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,681,0,2500.0,3608.687681124815,211.1336210000445,87212.20647899997,37.0,5.858233611362921,0.0,2500,3000,3300,3400,3900,4300,21000,63000,87000,87000,87000
POST,/predict/text?resume_text=DevOps+Architect+Kubernetes+Docker+AWS+GCP+Terraform+Ansible,901,0,2500.0,3269.33334120089,252.1050309999282,91415.31943399992,95.9134295227525,7.750761356590297,0.0,2500,2900,3300,3500,4000,4400,10000,37000,91000,91000,91000
POST,/predict/text?resume_text=Experienced+Python+DevOps+Engineer+Terraform+AWS+FastAPI,864,0,2500.0,2824.7032561944443,250.96459400003823,93920.27585799996,95.89930555555556,7.43247259943842,0.0,2500,2900,3200,3400,3900,4300,5000,6800,94000,94000,94000
POST,/predict/text?resume_text=Senior+ML+Engineer+Resume+Screening+Scikit-learn+FastAPI,883,0,2500.0,3618.303089483581,251.78436900000634,100207.38206999999,92.88788221970555,7.59591817743533,0.0,2500,3000,3200,3400,3900,4300,18000,57000,100000,100000,100000
,Aggregated,3329,0,2500.0,3315.917961139682,211.1336210000445,100207.38206999999,83.0555722439171,28.637385744826968,0.0,2500,3000,3300,3400,3900,4300,8000,41000,94000,100000,100000
