Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,681,0,1200.0,1261.9466171688673,211.32833400002937,13580.42225199995,37.0,5.730407330737792,0.0,1200,1400,1500,1500,1700,1900,2600,2900,14000,14000,14000
POST,/predict/text?resume_text=DevOps+Architect+Kubernetes+Docker+AWS+GCP+Terraform+Ansible,936,0,1200.0,1351.295693534188,255.60314500000914,17135.192349999954,95.89850427350427,7.876154569119785,0.0,1200,1400,1500,1600,1800,1900,2600,3500,17000,17000,17000
POST,/predict/text?resume_text=Experienced+Python+DevOps+Engineer+Terraform+AWS+FastAPI,940,0,1200.0,1313.3456113021273,254.73707399999057,16358.404452999992,95.88829787234043,7.909813349329698,0.0,1200,1400,1500,1500,1700,1900,2400,2800,16000,16000,16000
POST,/predict/text?resume_text=Senior+ML+Engineer+Resume+Screening+Scikit-learn+FastAPI,919,0,1200.0,1317.895669033733,255.92028800002709,15784.007232000078,92.89336235038085,7.733104753227652,0.0,1200,1400,1500,1600,1800,2100,2700,3200,16000,16000,16000
,Aggregated,3476,0,1200.0,1314.6977588912541,211.32833400002937,17135.192349999954,83.56214039125432,29.249480002414927,0.0,1200,1400,1500,1600,1700,2000,2600,3200,15000,17000,17000
