Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,492,0,2300.0,4213.128513325204,262.92112900000575,90598.03303299999,37.0,4.142628190770228,0.0,2300,2700,3000,3300,4000,29000,32000,53000,91000,91000,91000
POST,/predict/text?resume_text=DevOps+Architect+Kubernetes+Docker+AWS+GCP+Terraform+Ansible,675,0,2300.0,4441.479687611851,297.588133999966,99335.03128500002,95.90962962962963,5.683483798312813,0.0,2300,2800,3100,3400,4000,28000,32000,60000,99000,99000,99000
POST,/predict/text?resume_text=Experienced+Python+DevOps+Engineer+Terraform+AWS+FastAPI,659,0,2300.0,5136.836560902884,265.6665609999891,104734.26768700006,95.91805766312595,5.548764182352806,0.0,2300,2700,3100,3300,4000,29000,40000,77000,105000,105000,105000
POST,/predict/text?resume_text=Senior+ML+Engineer+Resume+Screening+Scikit-learn+FastAPI,615,0,2400.0,5098.747709790239,322.4030110000058,91624.925878,92.89268292682927,5.178285238462785,0.0,2400,2900,3200,3400,4000,30000,44000,68000,92000,92000,92000
,Aggregated,2441,0,2300.0,4748.776383797629,262.92112900000575,104734.26768700006,83.27816468660384,20.55316140989863,0.0,2300,2800,3100,3300,4000,29000,40000,63000,99000,105000,105000
