Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,109,0,210.57600300002832,218.07747260550687,210.57600300002832,602.126501999976,37.0,0.9165637590445835,0.0,210,210,210,210,220,240,250,260,600,600,600
POST,/predict/text?resume_text=DevOps+Architect+Kubernetes+Docker+AWS+GCP+Terraform+Ansible,133,0,260.0,260.68106029323434,254.46618499995566,337.18839300001946,95.93233082706767,1.118375962870914,0.0,260,260,260,260,270,290,310,320,340,340,340
POST,/predict/text?resume_text=Experienced+Python+DevOps+Engineer+Terraform+AWS+FastAPI,152,0,260.0,267.15875224999684,253.96584999998595,779.7451969999543,95.92105263157895,1.2781439575667588,0.0,260,260,260,260,270,300,330,650,780,780,780
POST,/predict/text?resume_text=Senior+ML+Engineer+Resume+Screening+Scikit-learn+FastAPI,133,0,260.0,279.2782200977435,254.4443049999927,820.3858969999942,92.92481203007519,1.118375962870914,0.0,260,260,260,260,290,360,690,730,820,820,820
,Aggregated,527,0,260.0,258.4310420265653,210.57600300002832,820.3858969999942,82.98102466793169,4.43145964235317,0.0,260,260,260,260,270,300,360,600,820,820,820
